Week_Number;Customer;Volume
14;oceanog;39
15;oceanog;27
16;oceanog;2
1;overlay;105175
2;overlay;49958
3;overlay;41054
4;overlay;39709
5;overlay;36729
6;overlay;35477
7;overlay;32945
8;overlay;36139
9;overlay;32570
10;overlay;33389
11;overlay;33062
12;overlay;25274
13;overlay;41501
14;overlay;31984
15;overlay;24828
16;overlay;38762
17;overlay;43053
1;parquet;376
2;parquet;511
3;parquet;449
4;parquet;476
5;parquet;412
6;parquet;464
7;parquet;481
8;parquet;480
9;parquet;586
10;parquet;715
11;parquet;751
12;parquet;879
13;parquet;1034
14;parquet;1122
15;parquet;1222
16;parquet;957
17;parquet;1524
1;philtre;275
2;philtre;191
3;philtre;144
4;philtre;117
5;philtre;148
6;philtre;145
7;philtre;69
8;philtre;112
9;philtre;97
10;philtre;130
11;philtre;147
12;philtre;97
13;philtre;110
14;philtre;191
15;philtre;103
16;philtre;139
17;philtre;142
1;precast;19088
2;precast;12587
3;precast;14194
4;precast;19503
5;precast;17483
6;precast;10439
7;precast;13248
8;precast;15049
9;precast;15931
10;precast;15167
11;precast;14408
12;precast;18011
13;precast;12839
14;precast;13267
15;precast;13282
16;precast;7042
17;precast;25182
1;protege;57
2;protege;6
3;protege;46
4;protege;85
5;protege;42
6;protege;63
9;protege;51
10;protege;26
11;protege;55
12;protege;44
13;protege;76
14;protege;15
15;protege;28
16;protege;27
17;protege;66
1;puccoon;19
2;puccoon;43
3;puccoon;39
4;puccoon;8
5;puccoon;56
6;puccoon;44
8;puccoon;22
9;puccoon;11
11;puccoon;48
12;puccoon;37
14;puccoon;53
15;puccoon;42
16;puccoon;44
17;puccoon;34
1;quamash;80
2;quamash;99
3;quamash;65
4;quamash;85
5;quamash;57
6;quamash;80
7;quamash;107
8;quamash;94
9;quamash;94
10;quamash;89
11;quamash;80
12;quamash;130
13;quamash;67
14;quamash;111
15;quamash;94
16;quamash;77
17;quamash;75
1;recarve;20095
2;recarve;26253
3;recarve;35966
4;recarve;17348
5;recarve;22717
6;recarve;23639
7;recarve;31412
8;recarve;59981
9;recarve;42457
10;recarve;22891
11;recarve;32376
12;recarve;23648
13;recarve;23861
14;recarve;27534
15;recarve;22238
16;recarve;28909
17;recarve;19388
2;regosol;292
3;regosol;435
4;regosol;433
5;regosol;395
6;regosol;431
7;regosol;400
8;regosol;320
9;regosol;434
10;regosol;329
11;regosol;427
12;regosol;323
13;regosol;304
14;regosol;374
15;regosol;346
16;regosol;205
17;regosol;276
3;rending;22
7;rending;17
9;rending;21
10;rending;51
11;rending;18
12;rending;7
13;rending;7
15;rending;37
17;rending;29
1;saurian;692
2;saurian;1048
3;saurian;782
4;saurian;504
5;saurian;632
6;saurian;628
7;saurian;683
8;saurian;840
9;saurian;483
10;saurian;486
11;saurian;509
12;saurian;494
13;saurian;621
14;saurian;707
15;saurian;750
16;saurian;843
17;saurian;599
1;scalpel;6312
2;scalpel;4135
3;scalpel;3616
4;scalpel;5389
5;scalpel;4493
6;scalpel;4259
7;scalpel;6849
8;scalpel;3873
9;scalpel;2705
10;scalpel;3002
11;scalpel;3106
12;scalpel;4125
13;scalpel;3313
14;scalpel;3400
15;scalpel;3303
16;scalpel;2311
17;scalpel;5127
1;scauper;130
2;scauper;118
3;scauper;55
4;scauper;81
5;scauper;43
6;scauper;52
7;scauper;106
8;scauper;69
9;scauper;23
10;scauper;67
11;scauper;89
12;scauper;60
13;scauper;77
14;scauper;56
15;scauper;31
16;scauper;102
17;scauper;48
1;seattle;22704
2;seattle;8198
3;seattle;7417
4;seattle;13108
5;seattle;8139
6;seattle;6856
7;seattle;7516
8;seattle;11064
9;seattle;9270
10;seattle;7393
11;seattle;9996
12;seattle;9054
13;seattle;8675
14;seattle;7697
15;seattle;9082
16;seattle;9932
17;seattle;13269
1;service;83
2;service;129
3;service;234
4;service;291
5;service;96
6;service;82
7;service;137
8;service;192
9;service;131
10;service;130
11;service;200
12;service;156
13;service;179
14;service;138
15;service;195
16;service;156
17;service;144
1;shaptin;11885
2;shaptin;20511
3;shaptin;20136
4;shaptin;19720
5;shaptin;17270
6;shaptin;15959
7;shaptin;17705
8;shaptin;12880
9;shaptin;18283
10;shaptin;17720
11;shaptin;17488
12;shaptin;17291
13;shaptin;16667
14;shaptin;17363
15;shaptin;17500
16;shaptin;13058
17;shaptin;17134
1;shipman;300
2;shipman;385
3;shipman;278
4;shipman;238
5;shipman;247
6;shipman;196
7;shipman;191
8;shipman;247
9;shipman;267
10;shipman;245
11;shipman;234
12;shipman;265
13;shipman;303
14;shipman;237
15;shipman;217
16;shipman;219
17;shipman;197
1;sophist;55
2;sophist;26
3;sophist;42
4;sophist;4
6;sophist;73
7;sophist;30
8;sophist;52
9;sophist;67
10;sophist;44
11;sophist;69
12;sophist;12
13;sophist;114
16;sophist;56
17;sophist;13
1;starver;157
2;starver;520
3;starver;421
4;starver;395
5;starver;407
6;starver;612
7;starver;663
8;starver;257
9;starver;276
10;starver;310
11;starver;279
12;starver;302
